address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
"300 BLOCK S NEGLEY AVE PITTSBURGH, PA 15206",55,0,30,0,22,3,2020,9,2,East Liberty,9,11,42003111500,2,5,3-8,40.4656630058358,-79.9291230901834
"1800 BLOCK FAIRLEE ST PITTSBURGH, PA 15212",44,3,19,0,17,5,2020,9,1,Brighton Heights,1,27,42003270300,1,1,1-14,40.4790078579818,-80.041642632826
"1000 BLOCK SOUTH SIDE AVE PITTSBURGH, PA 15212",29,0,4,3,15,7,2019,2,2,,,,42003561000,,1,3-21,40.4400896860178,-79.8802041994655
"700 BLOCK N HOMEWOOD AVE PITTSBURGH, PA 15208",24,0,10,6,3,5,2015,4,1,Homewood South,9,13,42003130300,2,5,3-17,40.4556290191127,-79.8966745476016
"1600 BLOCK WORTHINGTON ST PITTSBURGH, PA 15206",19,1,12,2,3,1,2015,11,6,Lincoln-Lemington-Belmar,9,12,42003561900,2,5,3-18,40.4683723873686,-79.8917006112731
"7300 BLOCK BENNETT ST PITTSBURGH, PA 15208",18,0,9,0,7,2,2021,8,3,Homewood South,9,13,42003130300,2,5,3-17,40.4558249397799,-79.8944400025147
"1200 BLOCK JANCEY ST PITTSBURGH, PA 15206",16,14,2,0,0,0,2015,10,4,Morningside,7,10,42003101400,2,5,3-7,40.479435366814,-79.929506718835
"1600 BLOCK SANDUSKY CT PITTSBURGH, PA 15212",12,0,9,1,2,0,2016,10,4,Central Northside,6,25,42003220600,1,1,1-10,40.4589236267468,-80.0055084339585
"100 BLOCK E 8TH AVE HOMESTEAD , PA 15102",11,0,5,3,3,0,2015,9,1,,,,42003483800,,OSC,,40.4059318891126,-79.9118297649661
"700 BLOCK WENZELL AVE PITTSBURGH, PA 15216",11,0,4,3,1,3,2019,3,2,Beechview,2,20,42003192000,5,6,4-28,40.4050193913515,-80.0335199324849
"1000 BLOCK WOODS RUN AVE PITTSBURGH, PA 15212",9,2,2,1,2,2,2022,2,5,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4789546463671,-80.0276236166119
"7200 BLOCK CHURCHLAND ST PITTSBURGH, PA 15206",8,3,4,1,0,0,2019,8,4,,,,,,5,,,
"7900 BLOCK TACOMA ST PITTSBURGH, PA 15208",8,0,3,4,1,0,2017,12,4,Homewood South,9,13,42003130400,2,5,3-17,40.4508041280825,-79.8863673164327
"1000 BLOCK HERSCHEL ST PITTSBURGH, PA 15220",8,0,3,0,5,0,2018,3,3,Elliott,2,20,42003562600,5,6,1-17,40.4416902650524,-80.0443875582889
"4700 BLOCK LORIGAN ST PITTSBURGH, PA 15224",7,1,2,0,2,2,2017,7,3,Bloomfield,7,8,42003080200,2,5,3-1,40.4588594116744,-79.9518145383702
"200 BLOCK MOORE AVE PITTSBURGH, PA 15210",7,0,3,0,3,1,2015,6,3,Knoxville,3,30,42003300100,5,3,4-7,40.411391761096,-79.9904119074762
"<100 BLOCK BIGELOW ST PITTSBURGH, PA 15207",7,0,2,0,5,0,2021,4,0,Hazelwood,5,15,42003562900,3,4,2-12,40.4223890341946,-79.9478454069349
"1500 BLOCK FORSYTHE ST PITTSBURGH, PA 15212",7,0,5,0,0,2,2017,6,4,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4707681058412,-80.0336833138481
"300 BLOCK ORCHARD PL PITTSBURGH, PA 15210",7,0,4,0,1,2,2021,12,5,Knoxville,3,30,42003300100,5,3,4-6,40.4179906681203,-79.9931946099197
"1300 BLOCK STEUBEN ST PITTSBURGH, PA 15220",6,2,2,1,1,0,2016,5,3,Crafton Heights,2,28,42003281400,5,6,1-17,40.4418431256319,-80.0486736497072
"100 BLOCK MILLBRIDGE ST PITTSBURGH, PA 15210",6,0,0,1,4,1,2016,1,5,Allentown,3,18,42003180300,5,3,4-21,40.421752426669,-79.9958297289367
"100 BLOCK LACLEDE ST PITTSBURGH, PA 15211",6,0,4,2,0,0,2016,11,4,Mount Washington,3,18,42003180700,5,3,4-5,40.4238075700052,-80.003152486922
"1400 BLOCK METHYL ST PITTSBURGH, PA 15216",6,0,4,1,1,0,2022,2,4,Beechview,4,19,42003191600,5,6,4-28,40.4142213461431,-80.0260254093828
"4500 BLOCK CENTRE AVE PITTSBURGH, PA 15213",6,0,5,1,0,0,2021,2,6,North Oakland,8,4,42003562000,3,4,2-23,40.4513984891143,-79.9530440466409
"3200 BLOCK WARD ST PITTSBURGH, PA 15213",6,0,3,1,2,0,2017,7,4,,,,,,4,,,
"700 BLOCK HAMPSHIRE AVE PITTSBURGH, PA 15216",6,0,3,1,2,0,2017,7,5,,,,,,6,,,
"200 BLOCK AUGUSTA ST PITTSBURGH, PA 15211",5,0,0,0,3,2,2019,6,1,Duquesne Heights,2,19,42003191100,5,3,4-1,40.4390514384493,-80.0224946008673
"5500 BLOCK BAYWOOD ST PITTSBURGH, PA 15206",5,0,2,0,2,1,2017,5,2,East Liberty,9,11,42003111300,2,5,3-8,40.4714362575067,-79.9289189283967
"2200 BLOCK VALERA AVE PITTSBURGH, PA 15210",5,0,0,0,4,1,2018,4,3,Carrick,4,29,42003290400,3,3,4-23,40.3901779222416,-79.9883450761441
"5700 BLOCK BRYANT ST PITTSBURGH, PA 15206",5,0,5,0,0,0,2018,4,1,Highland Park,7,11,42003110200,2,5,3-9,40.4759853009843,-79.9211413297919
"100 BLOCK OAKLAND AVE PITTSBURGH, PA 15213",5,0,5,0,0,0,2018,4,1,Central Oakland,3,4,42003040500,3,4,2-14,40.4422025627084,-79.9578262481479
"1800 BLOCK MAPLEWOOD AVE PITTSBURGH, PA 15221",5,0,4,1,0,0,2015,8,5,East Hills,9,13,42003130600,2,5,3-19,40.4513378893445,-79.8776874289506
"1200 BLOCK NOLAN CT PITTSBURGH, PA 15221",5,0,2,0,3,0,2021,10,4,Homewood North,9,13,42003130100,2,5,3-17,40.4594394730591,-79.8868738733753
"2000 BLOCK PLAINVIEW AVE PITTSBURGH, PA 15226",5,0,5,0,0,0,2021,1,5,Brookline,4,19,42003191700,5,6,4-26,40.4030010372904,-80.0169320907125
"<100 BLOCK REVERE WAY PITTSBURGH, PA 15219",5,0,3,2,0,0,2017,2,5,North Shore,1,23,42003563200,6,1,1-20,40.449202182922,-79.9987426648417
"1600 BLOCK BEDFORD AVE PITTSBURGH, PA 15219",5,0,4,0,1,0,2016,12,4,Crawford-Roberts,6,3,42003030500,3,2,2-1,40.4444688746195,-79.9872770446112
"1900 BLOCK WIGHTMAN ST PITTSBURGH, PA 15217",5,0,1,4,0,0,2021,4,1,Squirrel Hill South,5,14,42003141300,3,4,2-21,40.4355669488151,-79.9281247341305
"900 BLOCK FARRAGUT ST PITTSBURGH, PA 15206",5,0,2,1,1,1,2015,5,2,Highland Park,7,11,42003110600,2,5,3-9,40.4710161833895,-79.9190019667044
"2400 BLOCK ARLINGTON AVE PITTSBURGH, PA 15210",5,0,3,0,2,0,2016,1,4,Arlington,3,16,42003561600,3,3,4-22,40.4172999409484,-79.9728420978939
"800 BLOCK BAY RIDGE AVE PITTSBURGH, PA 15226",5,2,2,0,1,0,2016,1,3,Brookline,4,19,42003191800,5,6,4-26,40.3917270123499,-80.0224273985044
"1300 BLOCK DAGMAR AVE PITTSBURGH, PA 15216",5,0,4,0,1,0,2016,1,5,,,,,,6,,,
"200 BLOCK CLEARVIEW AVE CRAFTON, PA 15205",5,0,5,0,0,0,2019,3,4,,,,42003563100,,OSC,,40.4369294088521,-80.0588501893632
"600 BLOCK WILLIAM PENN PL PITTSBURGH, PA 15219",5,0,4,1,0,0,2017,7,0,Central Business District,6,2,42003020100,6,2,1-3,40.4411412816935,-79.9967621340552
"100 BLOCK LECKY AVE PITTSBURGH, PA 15212",5,0,3,0,2,0,2021,6,1,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4757393943858,-80.0336078990831
"5000 BLOCK ORINOCO ST PITTSBURGH, PA 15207",5,0,4,0,0,1,2016,8,5,Hazelwood,5,15,42003562300,3,4,2-13,40.4095968751904,-79.939028413154
"600 BLOCK ELMBANK ST PITTSBURGH, PA 15226",5,0,2,0,3,0,2016,8,4,Brookline,4,19,42003191700,5,6,4-26,40.3995923316675,-80.0160780394937
"5400 BLOCK HOWE ST PITTSBURGH, PA 15232",4,1,0,0,3,0,2018,2,3,Shadyside,8,7,42003070300,2,4,3-22,40.449766941956,-79.934703620409
"<100 BLOCK MOGA ST PITTSBURGH, PA 15206",4,0,4,0,0,0,2018,10,2,East Liberty,9,11,42003111300,2,5,3-8,40.4671803673948,-79.917509829581
"3200 BLOCK JULIET ST PITTSBURGH, PA 15213",4,0,3,1,0,0,2019,9,5,South Oakland,3,4,42003040900,3,4,2-11,40.4316416234215,-79.9567073533308
"EAST ST & ROYAL ST PITTSBURGH, PA 15212",4,0,3,0,1,0,2021,10,5,Spring Hill-City View,1,26,42003262000,1,1,1-11,40.4659857433645,-79.9997499383579
"1600 BLOCK SANDUSKY CT PITTSBURGH, PA 15212",4,0,3,1,0,0,2016,3,1,Central Northside,6,25,42003220600,1,1,1-10,40.4589236267468,-80.0055084339585
"2200 BLOCK JONQUIL WAY PITTSBURGH, PA 15210",4,0,1,2,1,0,2015,4,4,Arlington,3,16,42003561600,3,3,4-8,40.4159646062841,-79.9761809130868
"900 BLOCK BROOKLINE BLVD PITTSBURGH, PA 15226",4,0,1,0,2,1,2018,9,3,Brookline,4,19,42003191800,5,6,4-26,40.3928794375987,-80.0191898061447
"500 BLOCK GUYLYN ST PITTSBURGH, PA 15235",4,0,4,0,0,0,2020,3,5,,,,42003523501,,OSC,,40.4666585170472,-79.8045004045031
"400 BLOCK CHESTER AVE PITTSBURGH, PA 15214",4,0,2,1,1,0,2018,7,5,,,,,,1,,,
"300 BLOCK ORIN ST PENN HILLS, PA 15235",4,0,2,1,1,0,2016,3,3,,,,42003523200,,OSC,,40.4613741143572,-79.8538232199745
"2500 BLOCK BEDFORD AVE PITTSBURGH, PA 15219",4,0,4,0,0,0,2017,11,3,Bedford Dwellings,6,5,42003050900,3,2,2-5,40.4504453708583,-79.9728325359297
"500 BLOCK CORA ST PITTSBURGH, PA 15221",4,0,3,0,1,0,2021,4,3,Homewood South,9,13,42003130400,2,5,3-17,40.4503942725611,-79.887811539929
"2000 BLOCK SARAH ST PITTSBURGH, PA 15203",4,0,1,1,1,1,2018,1,1,South Side Flats,3,17,42003170200,3,3,4-24,40.4275498215054,-79.9775996919227
"7300 BLOCK BENNETT ST PITTSBURGH, PA 15208",4,0,3,1,0,0,2021,1,4,Homewood South,9,13,42003130300,2,5,3-17,40.4558249397799,-79.8944400025147
"EMERALD ST & CARNIVAL WAY PITTSBURGH, PA 15210",4,0,2,2,0,0,2016,8,2,Allentown,3,18,42003180300,5,3,4-5,40.4226278031514,-79.9916924301481
"GIST ST & LOCUST ST PITTSBURGH, PA 15219",4,0,2,1,1,0,2015,2,4,Bluff,6,1,42003010300,3,2,2-1,40.4365276248502,-79.9795766871551
"4800 BLOCK MITRE WAY PITTSBURGH, PA 15224",4,0,2,0,1,1,2015,7,1,Bloomfield,7,8,42003080400,2,5,3-1,40.4602335568401,-79.9472419073639
"900 BLOCK BERND ST PITTSBURGH, PA 15210",4,0,0,3,0,1,2016,5,5,,,,,,3,,,
"3300 BLOCK WARD ST PITTSBURGH, PA 15213",4,0,3,0,1,0,2020,6,1,South Oakland,3,4,42003040900,3,4,2-11,40.4331760065168,-79.9549043321306
"100 BLOCK BOUNDARY ST PITTSBURGH, PA 15213",4,0,0,2,2,0,2017,3,3,Squirrel Hill South,5,14,42003151600,3,4,2-12,40.4286511909524,-79.9491496166497
"1500 BLOCK ALTON ST PITTSBURGH, PA 15216",4,0,2,0,1,1,2021,8,4,Beechview,4,19,42003191600,5,6,4-28,40.4119210949843,-80.0212400542457
"8100 BLOCK FERNDALE ST PITTSBURGH, PA 15221",4,0,2,0,1,1,2017,6,5,Homewood North,9,13,42003130100,2,5,3-17,40.4593204333298,-79.8830262811969
"5400 BLOCK HILLCREST ST PITTSBURGH, PA 15206",4,0,4,0,0,0,2017,7,2,,,,,,5,,,
"500 BLOCK DORNESTIC ST PITTSBURGH, PA 15214",4,0,3,1,0,0,2016,4,4,Perry North,1,26,42003260200,1,1,1-15,40.490576980017,-80.0252928635377
"5200 BLOCK LOUGEAN AVE PITTSBURGH, PA 15207",4,0,1,0,2,1,2017,7,2,,,,,,4,,,
"3200 BLOCK LADOGA ST PITTSBURGH, PA 15204",4,0,3,0,1,0,2018,5,4,Windgap,2,28,42003563000,5,6,1-16,40.4495166781158,-80.0678992283921
"PA RT 28 S & 31ST ST BRG PITTSBURGH, PA 15222",4,0,4,0,0,0,2021,11,0,,,,,,1,,,
"4800 BLOCK MONONGAHELA ST PITTSBURGH, PA 15207",4,0,1,1,1,1,2016,7,6,Hazelwood,5,15,42003562300,3,4,2-13,40.4112919641888,-79.9426332284025
"7000 BLOCK PENN AVE PITTSBURGH, PA 15208",4,0,0,1,2,1,2016,4,6,Point Breeze,8,14,42003140600,3,4,3-14,40.4508496642536,-79.9063083105985
"600 BLOCK BRUSHTON AVE PITTSBURGH, PA 15208",4,0,1,0,1,2,2017,3,4,Homewood South,9,13,42003130400,2,5,3-17,40.4527571931509,-79.889172972718
"S 17TH ST & E CARSON ST PITTSBURGH, PA 15203",4,0,3,1,0,0,2019,3,6,South Side Flats,3,17,42003170200,3,3,4-24,40.4288428977868,-79.9820508989135
"7100 BLOCK FRANKSTOWN AVE PITTSBURGH, PA 15208",4,0,3,0,0,1,2021,4,0,Homewood South,9,13,42003130300,2,5,3-17,40.4578978331942,-79.8985004674126
"5600 BLOCK 2ND AVE PITTSBURGH, PA 15207",4,0,3,0,1,0,2018,12,1,Hazelwood,5,15,42003562300,3,4,2-13,40.4008034116569,-79.9390660171278
"MAPLE AVE & LEGION WAY PITTSBURGH, PA 15214",4,0,4,0,0,0,2021,1,6,Perry South,6,26,42003261500,1,1,1-23,40.471795504067,-80.0081209086594
"500 BLOCK GUYLYN DR PITTSBURGH, PA 15235",4,0,4,0,0,0,2020,3,5,,,,42003523501,,OSC,,40.4666585170472,-79.8045004045031
"100 BLOCK HAZLETT ST PITTSBURGH, PA 15214",4,0,4,0,0,0,2016,11,3,Northview Heights,1,26,42003260900,1,1,1-13,40.4771220938325,-80.0016475315907
"1900 BLOCK LITHGOW AVE PITTSBURGH, PA 15214",4,0,1,2,0,1,2017,4,5,Perry South,6,25,42003261400,1,1,1-10,40.4619666526649,-80.0098475955756
"FRANKSTOWN AVE & N HOMEWOOD AVE PITTSBURGH, PA 15208",4,0,4,0,0,0,2022,2,1,Homewood South,9,13,42003130300,2,5,3-17,40.457404655664,-79.8963011488784
"1700 BLOCK SEATON ST PITTSBURGH, PA 15226",4,0,2,0,1,1,2020,6,1,,,,,,6,,,
"600 BLOCK CLIMAX ST PITTSBURGH, PA 15210",4,0,4,0,0,0,2018,4,2,Allentown,3,18,42003180300,5,3,4-21,40.4199201442203,-79.997308790743
"100 BLOCK NOTTINGHAM DR PITTSBURGH, PA 15205",3,0,3,0,0,0,2021,4,4,,,,,,OSC,,,
"2700 BLOCK MC DOWELL ST PITTSBURGH, PA 15212",3,0,1,0,1,1,2019,9,4,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4698191465876,-80.0264154232935
"7400 BLOCK RACE ST PITTSBURGH, PA 15208",3,0,2,1,0,0,2015,7,2,Homewood North,9,13,42003130200,2,5,3-17,40.4576386922227,-79.891210648546
"1400 BLOCK TINSBURY ST PITTSBURGH, PA 15212",3,0,0,0,3,0,2018,1,3,Troy Hill,1,24,42003240600,1,1,1-2,40.4638232637179,-79.9825846633303
"2600 BLOCK CHURCHVIEW AVE PITTSBURGH, PA 15227",3,0,3,0,0,0,2020,2,1,Carrick,4,29,42003290400,3,3,4-15,40.3857388742463,-79.9782325893326
"2400 BLOCK WOODWARD AVE PITTSBURGH, PA 15226",3,0,3,0,0,0,2019,11,3,Brookline,4,19,42003191900,5,6,4-26,40.4000430609667,-80.0223422334561
"8200 BLOCK BRICELYN ST PITTSBURGH, PA 15221",3,0,2,1,0,0,2021,1,6,East Hills,9,13,42003130600,2,5,3-17,40.4541655193273,-79.8799794212724
"1000 BLOCK HERSCHEL ST PITTSBURGH, PA 15220",3,0,2,0,0,1,2017,3,3,Elliott,2,20,42003562600,5,6,1-17,40.4416902650524,-80.0443875582889
"200 BLOCK WINSTON ST PITTSBURGH, PA 15207",3,0,2,0,1,0,2019,11,4,Hazelwood,5,15,42003562300,3,4,2-13,40.4047608456116,-79.9414656076942
"1200 BLOCK SANDUSKY STN PITTSBURGH, PA 15212",3,0,2,0,1,0,2015,10,2,,,,,,1,,,
"7100 BLOCK MONTICELLO ST PITTSBURGH, PA 15208",3,0,2,1,0,0,2017,3,4,Homewood North,9,13,42003130200,2,5,3-17,40.4600207644616,-79.8976719808861
"1500 BLOCK BEECHWOOD BLVD PITTSBURGH, PA 15217",3,0,1,2,0,0,2020,10,6,Squirrel Hill North,8,14,42003140300,3,4,2-18,40.4420664824805,-79.9175433172984
"100 BLOCK HOLT ST PITTSBURGH, PA 15203",3,0,2,0,0,1,2017,3,5,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4767486220488,-80.028215637303
"1200 BLOCK ARNOLD ST PITTSBURGH, PA 15220",3,0,3,0,0,0,2015,8,3,Crafton Heights,2,20,42003562600,5,6,1-17,40.4420815646514,-80.0451288834818
"900 BLOCK MEMORY LN PITTSBURGH, PA 15219",3,0,2,0,0,1,2018,3,4,Bedford Dwellings,6,5,42003050900,3,2,2-1,40.449061253082,-79.9809055382023
"100 BLOCK FOUNTAIN ST PITTSBURGH, PA 15212",3,0,2,1,0,0,2018,3,6,Fineview,1,25,42003250900,1,1,1-10,40.4587585954775,-80.0019304117184
"2400 BLOCK CHAUNCEY DR PITTSBURGH, PA 15219",3,0,3,0,0,0,2021,5,2,Bedford Dwellings,6,5,42003050900,3,2,2-5,40.4498408057687,-79.9746251357847
"1700 BLOCK BELLEAU DR PITTSBURGH, PA 15212",3,0,0,0,2,1,2021,11,3,Fineview,6,25,42003250900,1,1,1-10,40.460310552493,-80.0069833937371
"1200 BLOCK SANDUSKY STN PITTSBURGH, PA 15212",3,0,3,0,0,0,2016,1,6,,,,,,1,,,
"EAST LIBERTY BLVD & LARIMER AVE PITTSBURGH, PA 15206",3,0,3,0,0,0,2017,5,0,East Liberty,9,11,42003111500,2,5,3-10,40.4634008054884,-79.9174920584431
"100 BLOCK PARKFIELD ST PITTSBURGH, PA 15210",3,1,2,0,0,0,2018,4,3,Carrick,4,29,42003290400,3,3,4-23,40.3913062841892,-79.9873681392311
"54TH ST & HARRISON ST PITTSBURGH, PA 15201",3,0,1,1,0,1,2016,7,3,Upper Lawrenceville,7,10,42003101100,2,2,3-5,40.483404244728,-79.9518879278161
"100 BLOCK CLIMAX ST PITTSBURGH, PA 15210",3,1,1,1,0,0,2015,7,4,,,,,,3,,,
"1300 BLOCK POCONO ST PITTSBURGH, PA 15218",3,0,1,1,1,0,2020,11,2,Swisshelm Park,5,14,42003141100,3,4,2-19,40.4193386302032,-79.9017583539221
"N HOMEWOOD AVE & FINANCE ST PITTSBURGH, PA 15208",3,0,0,3,0,0,2017,5,3,Homewood South,9,13,42003130300,2,5,3-17,40.453046829182,-79.8986048777331
"100 BLOCK STRATFORD AVE PITTSBURGH, PA 15206",3,0,3,0,0,0,2019,5,2,Friendship,9,8,42003080700,2,5,3-23,40.4637955966866,-79.9316217789805
"700 BLOCK MAYTIDE ST PITTSBURGH, PA 15210",3,0,2,0,1,0,2016,7,6,Carrick,4,32,42003290400,3,3,4-23,40.3842772408587,-79.9913002138661
"7000 BLOCK KELLY ST PITTSBURGH, PA 15208",3,0,3,0,0,0,2020,9,2,Homewood South,9,13,42003130300,2,5,3-17,40.4566120579776,-79.9018146354302
"2300 BLOCK WHITED ST PITTSBURGH, PA 15210",3,0,1,0,1,1,2019,10,5,Brookline,4,19,42003320600,5,6,4-25,40.3963414384638,-80.0097829230092
"200 BLOCK KATHLEEN ST PITTSBURGH, PA 15211",3,0,3,0,0,0,2017,5,5,Mount Washington,3,18,42003180700,5,3,4-5,40.4253967916282,-80.0027071957169
"800 BLOCK SHERWOOD AVE PITTSBURGH, PA 15204",3,0,3,0,0,0,2020,11,3,,,,,,6,,,
"1300 BLOCK METHYL ST PITTSBURGH, PA 15216",3,0,0,0,0,3,2017,5,5,Beechview,4,19,42003191600,5,6,4-28,40.4162839680059,-80.0259685039002
"200 BLOCK WILBUR ST PITTSBURGH, PA 15210",3,1,2,0,0,0,2015,2,3,Knoxville,3,30,42003300100,5,3,4-7,40.4074431006746,-79.9925986155206
"2800 BLOCK MARY ST PITTSBURGH, PA 15203",3,0,2,0,0,1,2015,9,5,South Side Slopes,3,16,42003160800,3,3,4-24,40.4242691965337,-79.9683636913634
"500 BLOCK HOLMES ST PITTSBURGH, PA 15221",3,0,3,0,0,0,2016,8,1,,,,42003561200,,OSC,3-16,40.447510217654,-79.8854551930387
"1600 BLOCK BRIGHTON RD PITTSBURGH, PA 15212",3,0,3,0,0,0,2019,7,6,Central Northside,6,25,42003250300,1,1,1-21,40.4579692938646,-80.015761536998
"400 BLOCK MT PLEASANT RD PITTSBURGH, PA 15214",3,0,3,0,0,0,2020,5,1,Northview Heights,1,26,42003260900,1,1,1-13,40.4798372205299,-80.0019047608856
"5900 BLOCK NORTHUMBERLAND ST PITTSBURGH, PA 15217",3,0,1,2,0,0,2015,10,2,Squirrel Hill North,8,14,42003140300,3,4,2-18,40.4418203928528,-79.9198682496475
"BRIGHTON HEIGHTS BLVD & MCKEES ROCKS BRG PITTSBURGH, PA 15212",3,0,2,1,0,0,2021,3,1,Brighton Heights,1,27,42003980900,1,1,1-14,40.4788720633477,-80.0430832872646
"7200 BLOCK CHURCHLAND ST PITTSBURGH, PA 15206",3,0,3,0,0,0,2017,7,2,,,,,,5,,,
"N HOMEWOOD AVE & FLETCHER WAY PITTSBURGH, PA 15208",3,0,3,0,0,0,2020,1,0,,,,,,5,,,
"2600 BLOCK BROWNSVILLE RD PITTSBURGH, PA 15227",3,0,0,1,2,0,2019,4,5,Carrick,4,29,42003290400,3,3,4-23,40.3854502648648,-79.9788043658311
"AUBURN ST & ASHLEY ST PITTSBURGH, PA 15206",3,0,3,0,0,0,2016,8,6,Larimer,9,12,42003120800,2,5,3-10,40.4628448029962,-79.915622786142
"200 BLOCK CLOVER ST PITTSBURGH, PA 15210",3,0,3,0,0,0,2021,12,3,Arlington,3,16,42003561600,3,3,4-8,40.4159458400318,-79.9716158727632
"3400 BLOCK GASS AVE PITTSBURGH, PA 15212",3,0,1,0,2,0,2015,10,5,Brighton Heights,1,27,42003270300,1,1,1-14,40.4770743333993,-80.0346721574571
"200 BLOCK LANGLEY ST PITTSBURGH, PA 15214",3,0,3,0,0,0,2021,12,4,Perry South,6,25,42003261400,1,1,1-10,40.4631339443617,-80.0110263474932
"100 BLOCK FOUNTAIN ST PITTSBURGH, PA 15212",3,0,3,0,0,0,2016,9,2,Fineview,1,25,42003250900,1,1,1-10,40.4587585954775,-80.0019304117184
"7600 BLOCK SUSQUEHANNA ST PITTSBURGH, PA 15221",3,2,0,0,1,0,2015,3,4,Homewood South,9,13,42003130400,2,5,3-17,40.4510080914673,-79.8921614763654
"1700 BLOCK BELLEAU DR PITTSBURGH, PA 15212",3,0,2,0,1,0,2020,9,5,Fineview,6,25,42003250900,1,1,1-10,40.460310552493,-80.0069833937371
"6700 BLOCK HEDGE ST PITTSBURGH, PA 15206",3,0,0,2,0,1,2016,9,4,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-15,40.46639028674,-79.9008958936025
"500 BLOCK ORMSBY ST PITTSBURGH, PA 15210",3,0,3,0,0,0,2021,8,5,,,,,,3,,,
"1400 BLOCK OAKGLEN ST PITTSBURGH, PA 15204",3,2,1,0,0,0,2020,12,0,Crafton Heights,2,28,42003281400,5,6,1-16,40.4489907504069,-80.0608094590917
"5700 BLOCK DELLAGLEN AVE PITTSBURGH, PA 15207",3,0,1,1,0,1,2021,6,1,Lincoln Place,5,31,42003310200,3,4,4-20,40.3665427588476,-79.9198640572842
"NORTH COMMONS & FEDERAL ST N PITTSBURGH, PA 15212",3,0,3,0,0,0,2017,7,4,Allegheny Center,1,22,42003562700,1,1,1-6,40.453866371775,-80.0064410911861
"3600 BLOCK BEECHWOOD BLVD PITTSBURGH, PA 15217",3,0,0,0,1,2,2018,8,6,Greenfield,5,15,42003151700,3,4,2-15,40.4254148381013,-79.9268250386211
"800 BLOCK CASINO DR PITTSBURGH, PA 15233",3,0,2,0,0,1,2015,4,2,Chateau,6,21,42003980600,6,1,1-8,40.4468215489554,-80.020451607988
"2300 BLOCK REED ST PITTSBURGH, PA 15219",3,1,2,0,0,0,2016,10,1,Terrace Village,6,5,42003051000,3,2,2-10,40.4435105818343,-79.9740404719758
"6500 BLOCK HAMILTON AVE PITTSBURGH, PA 15206",3,0,3,0,0,0,2017,8,0,Larimer,9,12,42003120800,2,5,3-10,40.4589924478051,-79.9142657236002
"1700 BLOCK STRATMORE ST PITTSBURGH, PA 15205",3,0,1,2,0,0,2015,4,3,Crafton Heights,2,28,42003281500,5,6,1-18,40.4420066661322,-80.0569930899309
"400 BLOCK PENFORT ST PITTSBURGH, PA 15214",3,0,1,0,1,1,2015,5,2,,,,,,1,,,
"1300 BLOCK CHARTIERS AVE PITTSBURGH, PA 15220",3,0,3,0,0,0,2019,8,1,Elliott,2,20,42003562600,5,6,1-17,40.4475961960429,-80.0437649994646
"3200 BLOCK ORLEANS ST PITTSBURGH, PA 15214",3,0,0,0,3,0,2018,9,5,Perry North,1,26,42003260700,1,1,1-15,40.4789206292682,-80.0108689504231
"5600 BLOCK STANTON AVE PITTSBURGH, PA 15206",3,0,0,0,2,1,2020,10,1,East Liberty,9,11,42003111300,2,5,3-9,40.4715111797246,-79.9262526563548
"WINSTON ST & GATE LODGE WAY PITTSBURGH, PA 15207",3,0,2,0,0,1,2019,12,2,Hazelwood,5,15,42003562300,3,4,2-13,40.4046738653766,-79.9420378917011
"800 BLOCK LOYAL WAY PITTSBURGH, PA 15210",3,0,1,0,1,1,2022,1,4,Allentown,3,18,42003180300,5,3,4-6,40.4195604281994,-79.9936572116194
"<100 BLOCK MARNE WAY PITTSBURGH, PA 15211",3,0,1,0,1,1,2020,10,1,Mount Washington,2,19,42003191400,5,3,4-27,40.4234951648909,-80.0124342130659
"37TH ST & CABINET WAY PITTSBURGH, PA 15201",3,0,3,0,0,0,2019,10,2,Lower Lawrenceville,7,6,42003060300,2,2,3-6,40.46316052176,-79.962173781782
"7300 BLOCK UPLAND ST PITTSBURGH, PA 15208",3,0,3,0,0,0,2022,2,0,,,,,,5,,,
"S 7TH ST & E CARSON ST PITTSBURGH, PA 15203",3,0,3,0,0,0,2018,10,4,South Side Flats,3,17,42003170200,3,3,4-2,40.428625654172,-79.9922421320497
"700 BLOCK FISHER ST PITTSBURGH, PA 15210",3,0,3,0,0,0,2017,8,6,St. Clair,3,16,42003561700,3,3,4-8,40.4115109008376,-79.9772086746329
"800 BLOCK CERES WAY PITTSBURGH, PA 15210",3,1,2,0,0,0,2017,9,2,Allentown,3,18,42003180300,5,3,4-5,40.4232701457144,-79.9937305032855
"100 BLOCK BAUSMAN ST PITTSBURGH, PA 15210",3,1,1,0,1,0,2016,11,4,Knoxville,3,30,42003300100,5,3,4-7,40.4144329309364,-79.9880773866418
"7500 BLOCK MULFORD ST PITTSBURGH, PA 15221",3,0,3,0,0,0,2016,5,5,,,,,,5,,,
