address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
"LILLIAN ST & BELTZHOOVER AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2020,7,2,Beltzhoover,3,18,42003562400,5,3,4-21,40.4186833030956,-79.9973026050848
"7200 BLOCK STRANAHAN ST PITTSBURGH, PA 15206",1,0,0,0,0,1,2020,7,3,Lincoln-Lemington-Belmar,9,13,42003561900,2,5,3-18,40.4625637434903,-79.8944499681612
"WOOD ST & BLVD OF THE ALLIES PITTSBURGH, PA 15222",1,0,1,0,0,0,2020,7,3,Central Business District,6,1,42003020100,6,2,1-4,40.4384451981293,-80.0019364936805
"800 BLOCK E WARRINGTON AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2020,7,3,Allentown,3,18,42003180300,5,3,4-6,40.4218022561637,-79.9937050598573
"2300 BLOCK LUCINA AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2020,7,3,Overbrook,4,32,42003320400,5,3,4-23,40.3873428553047,-79.9924272253533
"1400 BLOCK CHICAGO ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2020,7,3,,,,,,1,,,
"300 BLOCK FAIRVIEW AVE PITTSBURGH, PA 15220",1,0,0,0,1,0,2020,7,3,Elliott,2,20,42003562600,5,6,1-17,40.44445132303,-80.0356978363339
"PAULSON AVE & NAVARRO ST PITTSBURGH, PA 15206",1,0,0,1,0,0,2020,7,4,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-15,40.4682865363732,-79.9027468150328
"2100 BLOCK SIDNEY ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2020,7,4,South Side Flats,3,16,42003160900,3,3,4-24,40.4292402150964,-79.9760022588242
"300 BLOCK GLENN AVE CARNEGIE, PA 15106",1,0,0,0,1,0,2020,7,4,,,,42003470600,,OSC,,40.3965483107107,-80.090889232997
"CHESTER AVE & WILSON AVE PITTSBURGH, PA 15214",1,0,1,0,0,0,2020,7,4,Perry South,6,26,42003261400,1,1,1-12,40.4673211596229,-80.0134880493539
"3200 BLOCK GORMAN WAY PITTSBURGH, PA 15213",1,0,0,0,0,1,2016,5,2,,,,,,4,,,
"FORT DUQUESNE BLVD RAMP & 10TH ST BYP RAMP PITTSBURGH, PA 15222",1,0,1,0,0,0,2016,5,2,,,,,,2,,,
"6900 BLOCK WILTSIE ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2020,7,4,Lincoln-Lemington-Belmar,9,12,42003981800,2,5,3-18,40.4758208379193,-79.8983385398798
"800 BLOCK MT PLEASANT RD PITTSBURGH, PA 15214",1,0,1,0,0,0,2020,7,4,Northview Heights,1,26,42003260900,1,1,1-13,40.4757519574098,-79.9994763962932
"500 BLOCK CRAWFORD ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2020,7,4,,,,,,2,,,
"1000 BLOCK WOODLOW ST PITTSBURGH, PA 15205",1,0,1,0,0,0,2020,7,4,Crafton Heights,2,28,42003281400,5,6,1-17,40.4458030669122,-80.0523889725174
"<100 BLOCK GILFORD CT PITTSBURGH, PA 15206",1,0,0,1,0,0,2016,5,3,,,,,,5,,,
"7000 BLOCK FRANKSTOWN AVE PITTSBURGH, PA 15208",1,0,0,1,0,0,2020,7,4,Homewood South,9,13,42003130300,2,5,3-17,40.4584818161404,-79.9010876084501
"1800 BLOCK PIONEER AVE PITTSBURGH, PA 15226",1,0,0,0,1,0,2020,7,5,Brookline,4,19,42003191700,5,6,4-26,40.4055728713814,-80.0152802934132
"2600 BLOCK PERRYSVILLE AVE PITTSBURGH, PA 15214",1,0,1,0,0,0,2020,7,5,Perry South,6,26,42003261500,1,1,1-23,40.4711339361923,-80.0085176085982
"PERRYSVILLE AVE & N CHARLES ST PITTSBURGH, PA 15214",1,0,1,0,0,0,2020,7,5,Perry South,6,26,42003261400,1,1,1-23,40.4710138335634,-80.0086016916314
"<100 BLOCK PERRY ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2020,7,5,Middle Hill,6,5,42003050100,3,2,2-1,40.4467267251575,-79.9780747621141
"MICHIGAN ST & BERND ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2020,7,5,Beltzhoover,3,18,42003562400,5,3,4-21,40.4159521113989,-79.9981699626253
"100 BLOCK LECKY AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2020,7,6,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4757393943858,-80.0336078990831
"800 BLOCK MT PLEASANT RD PITTSBURGH, PA 15214",1,0,1,0,0,0,2020,7,6,Northview Heights,1,26,42003260900,1,1,1-13,40.4757519574098,-79.9994763962932
"200 BLOCK FEDERAL STS PITTSBURGH, PA 15212",1,0,1,0,0,0,2020,8,0,North Shore,1,22,42003563200,6,1,1-20,40.4484213102204,-80.0039635417819
"700 BLOCK GRANT ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2020,8,0,Central Business District,6,2,42003020100,6,2,1-3,40.4422741604836,-79.9945318961147
"400 BLOCK ROSEDALE ST PITTSBURGH, PA 15221",1,0,0,1,0,0,2020,8,0,,9,,42003130400,,5,3-16,40.447688780542,-79.8881626598822
"200 BLOCK SCHENLEY DR PITTSBURGH, PA",1,0,1,0,0,0,2020,8,0,Squirrel Hill North,8,14,42003140100,3,4,2-8,40.4397910716192,-79.9370104615363
"100 BLOCK VESPUCIUS ST PITTSBURGH, PA 15207",1,0,0,0,0,1,2016,5,5,,,,,,4,,,
"6400 BLOCK APPLE AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2016,5,6,,,,,,5,,,
"1100 BLOCK LARIMER AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2020,8,1,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-15,40.4678577653126,-79.9071578744007
"LECKY AVE & BRIGHTON RD PITTSBURGH, PA 15212",1,0,1,0,0,0,2020,8,1,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4760986366795,-80.0315665212314
